time median 50%_lower 50%_upper 90%_lower 90%_upper
1.78125 0.000233838 -3.42924e-05 0.000520278 -0.000519029 0.0009991
1.78223 0.000561793 0.000246301 0.000864123 -0.000382916 0.0013244
1.7832 -0.000585866 -0.00088611 -0.000284967 -0.00133779 0.000333961
1.78418 -3.44637e-05 -0.000372383 0.00027575 -0.000858524 0.000801411
1.78516 0.000509258 0.000234215 0.000776018 -0.000507795 0.00122248
1.78613 -2.07068e-05 -0.000289608 0.000245082 -0.000762578 0.000717509
1.78711 -0.00066199 -0.000947496 -0.000366269 -0.0013954 0.000259723
1.78809 0.000710556 0.00034655 0.00107187 -0.000280418 0.00156063
1.78906 -5.72016e-06 -0.000282719 0.00027088 -0.000832179 0.000730595
1.79004 -0.000266289 -0.00054771 -1.00507e-05 -0.00105019 0.00066556
1.79102 -0.000119994 -0.000386563 0.000135193 -0.000857139 0.000617235
1.79199 0.000873078 0.000552531 0.00117997 -7.37021e-05 0.00165473
1.79297 -0.000734038 -0.00107334 -0.000394567 -0.00157344 0.000201479
1.79395 0.000178147 -0.000142396 0.000477415 -0.0006664 0.000972905
1.79492 0.000203904 -3.28707e-05 0.00047509 -0.00071165 0.000967331
1.7959 0.000364126 8.17853e-05 0.000636141 -0.000391966 0.00109806
1.79688 -0.000952349 -0.001257 -0.000628019 -0.00174662 1.55639e-05
1.79785 0.000876423 0.000497476 0.00122406 -8.70424e-05 0.00170905
1.79883 -0.000173285 -0.000486558 0.00014407 -0.00101496 0.000682813
1.7998 -3.91942e-05 -0.00030498 0.000173608 -0.000861167 0.000785684
1.80078 -0.00047458 -0.000739886 -0.000186029 -0.00120553 0.00030447
1.80176 0.00111338 0.000770959 0.00142449 4.98781e-07 0.00191087
1.80273 -0.000924131 -0.00130675 -0.000516291 -0.00183148 7.63264e-05
1.80371 0.000235163 -5.4624e-05 0.000511711 -0.000677822 0.00103372
1.80469 -3.90286e-05 -0.000253632 0.000223402 -0.000848011 0.000835021
1.80566 0.000597586 0.000297077 0.000869204 -0.000220855 0.00135904
1.80664 -0.00123556 -0.00156576 -0.00086167 -0.00207688 -2.56614e-05
1.80762 0.000974011 0.000591133 0.00131628 -2.17606e-05 0.00181377
1.80859 -0.000242237 -0.000556275 8.57877e-05 -0.00108312 0.000751835
1.80957 3.85117e-05 -0.000222769 0.000232597 -0.000851171 0.000818398
1.81055 -0.000701254 -0.000976213 -0.000393421 -0.0014517 0.00014578
1.81152 0.00131297 0.000945767 0.00163086 5.49257e-05 0.0021294
1.8125 -0.00102797 -0.00142469 -0.00060126 -0.00196214 3.13292e-05
1.81348 0.000189081 -0.000101688 0.000447714 -0.0008084 0.00101936
1.81445 -6.36988e-05 -0.000260472 0.000206094 -0.00080585 0.000890322
1.81543 0.000708515 0.000399937 0.000980235 -0.000172445 0.00147847
1.81641 -0.00141686 -0.00176222 -0.00103119 -0.00227391 -8.0447e-05
1.81738 0.00098807 0.000595068 0.00135449 -3.20447e-05 0.00188586
1.81836 -0.000185917 -0.000480893 0.000118231 -0.00103592 0.000853717
1.81934 -6.36041e-05 -0.000337935 0.000110676 -0.000989691 0.000697743
1.82031 -0.000747606 -0.00104366 -0.000427478 -0.00153573 0.000168551
1.82129 0.00138174 0.00101746 0.00170165 4.57066e-05 0.00219777
1.82227 -0.00103347 -0.00141736 -0.000627077 -0.00196825 1.51908e-05
1.82324 2.973e-05 -0.000267974 0.000308489 -0.000964214 0.000920498
1.82422 9.50245e-05 -0.000112789 0.000409744 -0.000685481 0.00105079
1.8252 0.000626713 0.000329599 0.000902563 -0.000272715 0.00140068
1.82617 -0.00143111 -0.00176331 -0.00105715 -0.00228248 -4.06697e-05
1.82715 0.000945082 0.000552064 0.0013336 -5.67373e-05 0.0018887
1.82812 1.0053e-05 -0.00026065 0.00033267 -0.000874644 0.00101977
1.8291 -0.000283019 -0.000569149 -5.37766e-05 -0.00117898 0.000524384
1.83008 -0.000542379 -0.000881544 -0.000206494 -0.00141271 0.000394476
1.83105 0.00137577 0.00101865 0.00169569 2.33746e-05 0.00219923
1.83203 -0.000891511 -0.00125349 -0.000517655 -0.00179134 9.91346e-05
1.83301 -0.000137188 -0.000460902 0.000158923 -0.00109597 0.00080846
1.83398 0.000493925 0.000181428 0.000845467 -0.000397708 0.0014084
1.83496 0.000451281 0.000149663 0.0007515 -0.0004276 0.00126735
1.83594 -0.00124175 -0.00157442 -0.000897503 -0.00209263 2.24795e-05
1.83691 0.000891533 0.000506819 0.00126793 -8.6077e-05 0.00183762
1.83789 0.000349984 2.72783e-05 0.000672137 -0.000628107 0.00124876
1.83887 -0.000613625 -0.000942456 -0.000314601 -0.00151222 0.000297211
1.83984 -0.000192156 -0.000568034 0.000133055 -0.00111593 0.000671015
1.84082 0.00120558 0.000869015 0.00152779 -4.01731e-05 0.00204047
1.8418 -0.000762293 -0.00110837 -0.000411293 -0.0016507 0.000157683
1.84277 -0.000431125 -0.000753573 -9.0422e-05 -0.00130908 0.000562288
1.84375 0.000869083 0.00051599 0.00122787 -0.000131659 0.00177174
1.84473 5.32206e-05 -0.000286079 0.000411156 -0.000822607 0.000960017
1.8457 -0.00102463 -0.00134698 -0.000730928 -0.00190697 7.56796e-05
1.84668 0.000691084 0.00033802 0.00103444 -0.000233132 0.00159053
1.84766 0.000570019 0.000231017 0.000885479 -0.000452385 0.00139427
1.84863 -0.0010252 -0.00140809 -0.000651524 -0.00197462 3.23734e-05
1.84961 0.000186621 -0.000175374 0.000526989 -0.000730484 0.00103157
1.85059 0.000912912 0.000609021 0.00125573 -0.0001907 0.00185674
1.85156 -0.000549167 -0.0008792 -0.000205879 -0.0014245 0.000337413
1.85254 -0.000643891 -0.000964971 -0.000303249 -0.00146866 0.000364547
1.85352 0.00127014 0.00089938 0.00163199 4.73528e-05 0.00218126
1.85449 -0.000302573 -0.000734345 0.000102343 -0.00127134 0.000680397
1.85547 -0.000691582 -0.000991836 -0.000438233 -0.00162764 0.000386299
1.85645 0.000501483 0.000188577 0.000815882 -0.000341728 0.0014005
1.85742 0.000780406 0.000438647 0.00110315 -0.000251218 0.00160041
1.8584 -0.00141592 -0.00182533 -0.000994005 -0.00241792 -4.92626e-05
1.85938 0.000478538 9.98597e-05 0.000855976 -0.000453117 0.0013907
1.86035 0.000491188 0.000224709 0.000848993 -0.000538037 0.00157073
1.86133 -0.000468298 -0.000790115 -0.000151785 -0.00137957 0.00037401
1.8623 -0.000920076 -0.00123894 -0.000578426 -0.00173978 0.000122925
1.86328 0.00145496 0.00106378 0.0018344 4.52698e-05 0.00240739
1.86426 -0.000750857 -0.00119761 -0.000298927 -0.00175703 0.000273212
1.86523 -0.000479747 -0.000783839 -0.000229596 -0.00151325 0.000558138
1.86621 0.000283261 1.04693e-05 0.00057306 -0.00050273 0.00124103
1.86719 0.00086446 0.000526798 0.00117468 -0.000179032 0.00165733
1.86816 -0.00163048 -0.00202943 -0.0012027 -0.00262192 -0.000149342
1.86914 0.000814856 0.000395284 0.00124132 -0.000167726 0.00182932
1.87012 0.000282615 4.65362e-05 0.000591442 -0.000690127 0.00141009
1.87109 -0.000265287 -0.000543672 -1.16588e-05 -0.00122154 0.000529984
1.87207 -0.000906133 -0.00122579 -0.000559589 -0.0017147 0.000145377
1.87305 0.0016523 0.00123815 0.00204039 0.00017451 0.00264147
1.87402 -0.000909106 -0.00133733 -0.000497319 -0.00190947 0.000103583
1.875 -0.000195348 -0.00049651 6.25971e-05 -0.00126838 0.000796305
1.87598 0.000232836 -1.62126e-05 0.000519405 -0.000551508 0.00123072
1.87695 0.000893276 0.000566848 0.00118919 -0.000129037 0.00166187
1.87793 -0.00167894 -0.0020532 -0.00127393 -0.002626 -0.000150751
1.87891 0.000927758 0.00049811 0.00137317 -9.72339e-05 0.00198818
1.87988 9.34482e-05 -0.000129091 0.000379353 -0.000828055 0.00116629
1.88086 -0.00023289 -0.00050138 -3.26571e-05 -0.00124953 0.000536991
1.88184 -0.000877699 -0.00118879 -0.000538675 -0.00168418 0.000167218
1.88281 0.00160994 0.00119878 0.00198406 9.86435e-05 0.00255528
1.88379 -0.000991118 -0.00138492 -0.000594521 -0.00196397 -9.99606e-07
1.88477 -0.000115866 -0.000419735 0.000150731 -0.00118369 0.00080446
1.88574 0.000249661 -4.159e-06 0.000555426 -0.000560739 0.00123616
1.88672 0.000818776 0.000497359 0.00111077 -0.000193289 0.00156523
1.8877 -0.00149805 -0.00183981 -0.00111513 -0.00237188 -4.21116e-05
1.88867 0.0010159 0.000599518 0.00143698 -2.71595e-06 0.00202748
1.88965 0.00018372 -6.5342e-05 0.000484085 -0.000726269 0.00115251
1.89062 -0.000193665 -0.000505484 2.95495e-05 -0.00116618 0.000588429
1.8916 -0.000600812 -0.000906915 -0.000291653 -0.0013765 0.000360667
1.89258 0.00149954 0.00112057 0.00184613 7.34365e-05 0.00236254
1.89355 -0.000832685 -0.00119115 -0.000463799 -0.00174327 0.000107164
1.89453 -0.000102693 -0.000409482 0.00016883 -0.00104021 0.00079075
1.89551 0.000356197 7.96158e-05 0.000666538 -0.000492764 0.00124736
1.89648 0.000558323 0.000233785 0.000862908 -0.000377925 0.00133718
1.89746 -0.00129806 -0.00160387 -0.000953709 -0.00208264 -4.27634e-05
1.89844 0.000765097 0.000400702 0.00111312 -0.000155859 0.00166548
1.89941 0.000206438 -6.81054e-05 0.0005009 -0.000698802 0.00104046
1.90039 -0.000416558 -0.000773244 -0.00010994 -0.00132366 0.000458689
1.90137 -0.000436655 -0.000717509 -0.00016187 -0.00117688 0.000410822
1.90234 0.00110109 0.00076425 0.00141476 -4.40648e-05 0.0019029
1.90332 -0.000642978 -0.000975143 -0.000303146 -0.00151424 0.000228562
1.9043 -0.000308226 -0.000612003 -8.87326e-06 -0.00111836 0.000590848
1.90527 0.000517056 0.000231849 0.00081771 -0.000378178 0.00132749
1.90625 0.000332313 8.96481e-06 0.000666502 -0.000533324 0.00116563
1.90723 -0.000892093 -0.00117558 -0.000585769 -0.0016398 0.000157159
1.9082 0.000501246 0.000195689 0.000807513 -0.000324258 0.00131049
1.90918 0.000457039 0.00015747 0.000740391 -0.000439036 0.00120239
1.91016 -0.000593027 -0.000947952 -0.000235769 -0.00144715 0.000367203
1.91113 -0.000198163 -0.000478257 6.07629e-05 -0.000961497 0.000598506
1.91211 0.000691642 0.000410282 0.000987647 -0.000291755 0.00149292
1.91309 -0.000350834 -0.000653394 -5.67371e-05 -0.00116104 0.000457736
1.91406 -0.000653393 -0.000948044 -0.000351967 -0.00141454 0.000246074
1.91504 0.000611796 0.000295983 0.00093146 -0.000312439 0.00141493
1.91602 -4.28854e-05 -0.000355524 0.000301436 -0.000847265 0.000816232
1.91699 -0.000650322 -0.000926073 -0.000373777 -0.00140611 0.000316325
1.91797 6.72248e-05 -0.000193153 0.0003449 -0.000693707 0.000828865
1.91895 0.000686126 0.000394604 0.000973012 -0.000195673 0.00143191
1.91992 -0.000806751 -0.00114689 -0.000444757 -0.00163119 0.000173647
