
time median 50%_lower 50%_upper 90%_lower 90%_upper
0.101562 3.01978e-09 -5.1978e-07 4.73503e-07 -0.000394332 0.000197878
0.102539 4.96364e-09 -1.11909e-07 8.80885e-07 -0.000332872 0.000388375
0.103516 4.36481e-09 -1.4868e-07 8.31931e-07 -0.000351904 0.000305413
0.104492 5.96707e-09 -6.29184e-08 1.35089e-06 -0.000226284 0.000403411
0.105469 1.62225e-09 -8.38145e-07 3.84759e-07 -0.000514691 0.000205241
0.106445 5.87998e-09 -5.53554e-08 1.75641e-06 -0.000177196 0.000424419
0.107422 2.26244e-09 -2.96571e-07 6.42867e-07 -0.000411219 0.00031135
0.108398 2.46333e-09 -2.21908e-07 7.99284e-07 -0.000288798 0.000379315
0.109375 1.01052e-09 -6.14807e-07 4.19831e-07 -0.000409513 0.000221522
0.110352 4.19615e-09 -8.81864e-08 1.84015e-06 -0.000193144 0.000516179
0.111328 -2.4659e-11 -1.19869e-06 3.05369e-07 -0.000430895 0.000172753
0.112305 1.93402e-09 -2.22386e-07 8.79295e-07 -0.000281511 0.000437665
0.113281 1.06899e-09 -3.69351e-07 6.14782e-07 -0.000380626 0.000281146
0.114258 2.15268e-09 -1.77161e-07 1.24289e-06 -0.00021024 0.000410439
0.115234 -1.04074e-09 -1.38351e-06 2.20038e-07 -0.000498419 0.000193209
0.116211 2.32675e-09 -1.42283e-07 1.94465e-06 -0.000156349 0.000435486
0.117188 -3.10972e-10 -5.93929e-07 3.78462e-07 -0.000447212 0.000269558
0.118164 1.14794e-10 -3.9345e-07 5.88654e-07 -0.00026967 0.000384438
0.119141 -1.6451e-09 -9.33749e-07 2.08923e-07 -0.000397024 0.000211113
0.120117 9.19642e-10 -1.95657e-07 1.81472e-06 -0.000191809 0.000486
0.121094 -3.67666e-09 -1.8634e-06 9.50194e-08 -0.000437665 0.000154088
0.12207 -9.78591e-10 -3.95268e-07 5.83362e-07 -0.000257272 0.000462044
0.123047 -2.38136e-09 -6.3746e-07 2.57267e-07 -0.000383462 0.000261482
0.124023 -1.29005e-09 -3.35106e-07 8.79634e-07 -0.000210344 0.000385174
0.125 -7.25218e-09 -1.82117e-06 3.75038e-08 -0.000464313 0.00019784
0.125977 -1.35666e-09 -2.876e-07 1.58441e-06 -0.000159375 0.000430954
0.126953 -5.27069e-09 -8.70377e-07 8.73295e-08 -0.000455653 0.000248713
0.12793 -4.20424e-09 -6.28166e-07 2.0731e-07 -0.000254754 0.000373175
0.128906 -9.64629e-09 -1.2674e-06 2.61455e-08 -0.000375819 0.0002171
0.129883 -2.55187e-09 -3.61055e-07 1.21117e-06 -0.000206478 0.000444403
0.130859 -1.83975e-08 -1.99395e-06 6.7126e-09 -0.000410144 0.000161928
0.131836 -5.16183e-09 -6.40484e-07 1.94148e-07 -0.000246055 0.000433998
0.132812 -7.61437e-09 -8.64808e-07 6.66391e-08 -0.000363185 0.000244512
0.133789 -4.38672e-09 -5.43726e-07 4.44544e-07 -0.000223013 0.000356104
0.134766 -2.04833e-08 -1.86052e-06 5.96209e-09 -0.000416258 0.000216485
0.135742 -3.92103e-09 -4.75357e-07 8.25242e-07 -0.000175505 0.000375475
0.136719 -9.82064e-09 -1.00965e-06 4.7922e-08 -0.000410309 0.000244021
0.137695 -8.3189e-09 -9.11127e-07 7.89898e-08 -0.000243657 0.000340187
0.138672 -1.39259e-08 -1.39973e-06 2.24199e-08 -0.000333016 0.000238994
0.139648 -4.10118e-09 -5.46895e-07 5.51986e-07 -0.000237069 0.000377724
0.140625 -1.48339e-08 -1.62387e-06 1.85887e-08 -0.000341127 0.000196346
0.141602 -6.38135e-09 -9.02109e-07 1.25728e-07 -0.000259701 0.000375882
0.142578 -5.70877e-09 -8.79662e-07 1.54775e-07 -0.000315259 0.000246113
0.143555 -4.34251e-09 -6.87955e-07 2.99491e-07 -0.000263031 0.000299497
0.144531 -9.9671e-09 -1.57095e-06 4.78266e-08 -0.000342663 0.000265043
0.145508 -3.58588e-09 -6.75907e-07 3.67335e-07 -0.000229757 0.00029652
0.146484 -4.37148e-09 -8.47604e-07 2.12711e-07 -0.000348192 0.000281259
0.147461 -5.07456e-09 -1.11847e-06 1.35016e-07 -0.000259503 0.000285382
0.148438 -5.14625e-09 -1.1781e-06 1.31114e-07 -0.000270718 0.00029003
0.149414 -2.47373e-09 -6.46648e-07 4.55047e-07 -0.000304588 0.000304782
0.150391 -3.9228e-09 -1.05498e-06 1.863e-07 -0.000266176 0.000250786
0.151367 -3.60044e-09 -1.07398e-06 1.99337e-07 -0.000304323 0.000310692
0.152344 -1.85963e-09 -6.57802e-07 4.58919e-07 -0.000258669 0.000272762
0.15332 -1.8837e-09 -6.9984e-07 3.99191e-07 -0.000314312 0.00024736
0.154297 -2.48918e-09 -1.03967e-06 2.49014e-07 -0.000275771 0.000338412
0.155273 -1.69771e-09 -8.269e-07 3.46142e-07 -0.000284983 0.000229624
0.15625 -4.73631e-10 -5.03403e-07 6.25046e-07 -0.00028306 0.000324677
0.157227 -1.7773e-09 -1.10375e-06 2.76785e-07 -0.000292265 0.000236484
0.158203 -5.28354e-10 -6.7136e-07 4.51395e-07 -0.00023835 0.000336925
0.15918 8.6822e-11 -5.66358e-07 5.2953e-07 -0.000368792 0.000256037
0.160156 8.00179e-10 -4.18565e-07 6.93877e-07 -0.000203991 0.000317906
0.161133 -3.84935e-10 -9.78914e-07 3.32232e-07 -0.000358405 0.000259576
0.162109 2.1081e-09 -2.61233e-07 9.30109e-07 -0.000220166 0.000313737
0.163086 1.07469e-09 -5.06453e-07 5.17091e-07 -0.000359475 0.00023293
0.164062 1.90556e-09 -3.56866e-07 6.60802e-07 -0.00024535 0.000395335
0.165039 1.30729e-09 -7.26967e-07 4.44364e-07 -0.000345204 0.000186817
0.166016 4.86439e-09 -1.07551e-07 1.26745e-06 -0.000242312 0.000377883
0.166992 1.8162e-09 -7.70124e-07 4.36787e-07 -0.00033223 0.000205961
0.167969 4.89039e-09 -1.51877e-07 8.78856e-07 -0.000233857 0.000373911
0.168945 4.03042e-09 -3.09315e-07 6.44846e-07 -0.000417662 0.000240261
0.169922 9.73814e-09 -4.24687e-08 1.37315e-06 -0.00017172 0.00037142
0.170898 3.08074e-09 -8.44671e-07 4.63631e-07 -0.000399779 0.000224357
0.171875 1.49806e-08 -1.89002e-08 1.45709e-06 -0.000196634 0.00036442
0.172852 5.87818e-09 -2.64779e-07 6.85786e-07 -0.000395022 0.000239715
0.173828 1.18686e-08 -3.91549e-08 1.16209e-06 -0.000234108 0.000435368
0.174805 5.13313e-09 -5.89689e-07 5.75819e-07 -0.00038606 0.000164597
0.175781 2.34433e-08 -7.71363e-09 1.75463e-06 -0.000204194 0.000429416
0.176758 5.22966e-09 -5.65011e-07 6.03708e-07 -0.000384629 0.000193446
0.177734 1.49584e-08 -2.99275e-08 1.28173e-06 -0.000241853 0.000411094
0.178711 7.26242e-09 -2.08168e-07 7.69007e-07 -0.000436803 0.000231515
0.179688 2.13086e-08 -1.05843e-08 1.90843e-06 -0.000156106 0.00039955
0.180664 4.64241e-09 -7.05717e-07 5.7839e-07 -0.000445346 0.000201335
0.181641 2.09192e-08 -1.18176e-08 1.89938e-06 -0.000186791 0.000404205
0.182617 5.77467e-09 -2.70524e-07 7.72596e-07 -0.000414625 0.000250216
0.183594 1.13958e-08 -5.57145e-08 1.42023e-06 -0.000239372 0.000444938
0.18457 3.7951e-09 -7.19698e-07 5.83741e-07 -0.000402435 0.00016131
0.185547 1.67449e-08 -2.29991e-08 2.13169e-06 -0.000199851 0.000456728
0.186523 3.1678e-09 -7.39143e-07 5.87596e-07 -0.000406212 0.000192184
0.1875 7.68711e-09 -9.40816e-08 1.38005e-06 -0.000250995 0.000416165
0.188477 3.36154e-09 -4.06314e-07 7.3658e-07 -0.000432415 0.000251987
0.189453 8.96411e-09 -5.59381e-08 2.04636e-06 -0.00015947 0.000400154
0.19043 1.63866e-09 -1.08291e-06 4.69227e-07 -0.00045072 0.000205519
0.191406 6.5327e-09 -8.56802e-08 1.90384e-06 -0.000189685 0.000407585
0.192383 2.24512e-09 -4.65843e-07 7.47606e-07 -0.000396191 0.0002583
0.193359 3.58978e-09 -1.92222e-07 1.25607e-06 -0.00026894 0.000419494
0.194336 7.66376e-10 -1.00925e-06 4.75408e-07 -0.00038991 0.00016988
0.195312 4.19648e-09 -1.32636e-07 1.86209e-06 -0.000213582 0.00045439
0.196289 2.83632e-10 -1.04804e-06 4.36697e-07 -0.000400436 0.000196034
0.197266 1.96678e-09 -3.19397e-07 9.77701e-07 -0.000263087 0.000388202
0.198242 5.92422e-10 -6.33273e-07 5.74449e-07 -0.000391774 0.000289819
0.199219 1.94683e-09 -2.56252e-07 1.33683e-06 -0.000181235 0.000375983
0.200195 -1.03111e-09 -1.23194e-06 3.02143e-07 -0.000439261 0.000229076
0.201172 1.47481e-09 -2.77936e-07 1.31924e-06 -0.000201661 0.000385209
0.202148 -5.94269e-10 -6.51625e-07 4.88929e-07 -0.000362991 0.000271175
0.203125 -4.73491e-10 -5.20617e-07 6.11254e-07 -0.000309553 0.000368584
0.204102 -1.93179e-09 -9.41624e-07 2.94859e-07 -0.000341992 0.000203187
0.205078 -1.57239e-10 -3.57334e-07 1.0434e-06 -0.000248522 0.000422241
0.206055 -3.6471e-09 -1.1606e-06 1.73711e-07 -0.000373081 0.000214419
0.207031 -2.5032e-09 -6.7276e-07 3.63256e-07 -0.000277926 0.000329077
0.208008 -3.14219e-09 -7.15041e-07 3.14174e-07 -0.000330138 0.000336894
0.208984 -3.06942e-09 -6.19256e-07 4.42621e-07 -0.000235869 0.000308879
0.209961 -7.41244e-09 -1.17658e-06 7.93254e-08 -0.000394646 0.000271868
0.210938 -3.71906e-09 -5.88087e-07 4.55731e-07 -0.000237882 0.000355314
0.211914 -5.27795e-09 -7.36322e-07 2.31951e-07 -0.000308405 0.000295712
0.212891 -8.09835e-09 -9.33534e-07 1.00775e-07 -0.00036908 0.000302654
0.213867 -7.50007e-09 -8.7996e-07 1.16963e-07 -0.000278965 0.000268056
0.214844 -5.69307e-09 -6.74474e-07 3.21608e-07 -0.000302289 0.000367915
0.21582 -1.31402e-08 -1.14153e-06 3.98274e-08 -0.000340183 0.000269164
0.216797 -1.24159e-08 -1.07142e-06 5.03321e-08 -0.000313885 0.000287314
0.217773 -7.57359e-09 -7.85931e-07 1.8878e-07 -0.000283 0.000393142
0.21875 -1.31592e-08 -1.1225e-06 4.87194e-08 -0.000302088 0.000245722
0.219727 -1.50546e-08 -1.19513e-06 3.70704e-08 -0.000336235 0.000337501
0.220703 -8.3435e-09 -8.78323e-07 1.39024e-07 -0.000302571 0.00031922
0.22168 -7.85599e-09 -8.43257e-07 1.61797e-07 -0.000271075 0.000331397
0.222656 -1.73311e-08 -1.45868e-06 2.70403e-08 -0.000414014 0.000259909
0.223633 -6.02655e-09 -7.67768e-07 2.71381e-07 -0.000225035 0.000335849
0.224609 -7.36309e-09 -9.57077e-07 1.54653e-07 -0.00036997 0.000305657
0.225586 -8.64958e-09 -1.09097e-06 1.10442e-07 -0.00031304 0.000328623
0.226562 -9.4748e-09 -1.29902e-06 8.80159e-08 -0.000353281 0.000252194
0.227539 -3.96895e-09 -6.53284e-07 5.02749e-07 -0.00024686 0.000425576
0.228516 -1.19394e-08 -1.82564e-06 5.21514e-08 -0.000370241 0.000199336
0.229492 -5.07461e-09 -9.47955e-07 2.08543e-07 -0.000278135 0.000385438
0.230469 -4.78675e-09 -9.87252e-07 2.07841e-07 -0.000353642 0.000303538
0.231445 -3.276e-09 -7.27695e-07 4.00581e-07 -0.000240005 0.000362064
0.232422 -7.41724e-09 -1.8328e-06 8.41944e-08 -0.000432766 0.000231203
0.233398 -1.22771e-09 -4.42348e-07 1.17498e-06 -0.000186793 0.000383567
0.234375 -3.30551e-09 -1.04218e-06 2.3075e-07 -0.000410464 0.000250407
0.235352 -2.13152e-09 -7.82429e-07 3.90093e-07 -0.000292729 0.00037469
0.236328 -2.62024e-09 -1.13553e-06 2.43378e-07 -0.000378174 0.000231537
0.237305 2.33455e-11 -3.8404e-07 1.25923e-06 -0.000217076 0.000435873
0.238281 -3.76215e-09 -2.31403e-06 1.38939e-07 -0.000411677 0.000175658
0.239258 -5.13211e-10 -5.59677e-07 5.95402e-07 -0.000228895 0.000448027
0.240234 -1.00552e-09 -8.0066e-07 3.90882e-07 -0.000403066 0.000278819
0.241211 2.06891e-10 -4.65388e-07 6.65227e-07 -0.000223229 0.000390334
0.242188 -1.68844e-09 -1.54659e-06 2.37363e-07 -0.00043209 0.000211918
0.243164 2.59612e-09 -1.77586e-07 2.29289e-06 -0.000166555 0.000422683
0.244141 7.00057e-11 -7.74147e-07 4.05253e-07 -0.000469116 0.000202069
0.245117 1.56585e-09 -3.36492e-07 7.59526e-07 -0.000264643 0.000405009
0.246094 9.85405e-10 -6.10142e-07 4.81584e-07 -0.000392906 0.000221779
0.24707 4.64448e-09 -1.09953e-07 1.71839e-06 -0.000210316 0.000425886
0.248047 3.39757e-10 -2.2499e-06 2.71454e-07 -0.000429426 0.000160854
0.249023 4.42297e-09 -1.51821e-07 1.01448e-06 -0.000184726 0.000477707
0.25 3.02356e-09 -4.16175e-07 5.66942e-07 -0.000413837 0.000253792
0.250977 5.13465e-09 -1.52713e-07 8.49408e-07 -0.000223988 0.000392595
0.251953 2.35054e-09 -1.20497e-06 3.68811e-07 -0.00041563 0.000212677
0.25293 1.98741e-08 -1.05366e-08 2.50537e-06 -0.00015829 0.000424783
0.253906 4.3608e-09 -4.37057e-07 5.30931e-07 -0.000488356 0.000173092
0.254883 1.01155e-08 -5.63821e-08 1.01166e-06 -0.000237305 0.000418406
0.255859 7.16868e-09 -1.43574e-07 7.32007e-07 -0.000377512 0.000230618
0.256836 2.47351e-08 -6.29852e-09 1.88544e-06 -0.000220212 0.00039949
0.257812 3.80603e-09 -1.92618e-06 4.09075e-07 -0.000415693 0.000168207
0.258789 1.97415e-08 -1.1497e-08 1.4217e-06 -0.00016524 0.000478383
0.259766 8.17424e-09 -1.35677e-07 7.54917e-07 -0.00040514 0.000227244
0.260742 1.1913e-08 -5.37207e-08 9.82999e-07 -0.000236302 0.000367591
0.261719 4.63647e-09 -7.94042e-07 4.95909e-07 -0.000387065 0.000228971
0.262695 3.10309e-08 -4.96381e-09 2.58364e-06 -0.000173666 0.000396543
0.263672 5.23437e-09 -3.87165e-07 6.11969e-07 -0.000455672 0.000168569
0.264648 1.06432e-08 -6.39856e-08 1.08942e-06 -0.000213459 0.00039715
0.265625 7.87879e-09 -1.08363e-07 9.34962e-07 -0.000348176 0.000243089
0.266602 1.84879e-08 -1.79967e-08 1.85554e-06 -0.000242138 0.000359727
0.267578 2.9689e-09 -1.11771e-06 4.56499e-07 -0.000366178 0.000194546
0.268555 1.1312e-08 -4.28206e-08 1.56246e-06 -0.000174337 0.000429068
0.269531 4.88961e-09 -1.8576e-07 8.53585e-07 -0.00037237 0.000210555
0.270508 4.1063e-09 -2.37969e-07 8.00548e-07 -0.000247841 0.000319667
0.271484 2.3732e-09 -5.36297e-07 5.27238e-07 -0.000319898 0.000271087
0.272461 7.39437e-09 -5.99444e-08 1.89358e-06 -0.000214921 0.000340668
0.273438 1.78633e-09 -6.05431e-07 5.01249e-07 -0.00039546 0.000195042
0.274414 2.64173e-09 -2.78913e-07 8.04105e-07 -0.000211933 0.000346201
0.275391 3.0696e-09 -1.96298e-07 1.06356e-06 -0.0002913 0.000266336
0.276367 3.06023e-09 -1.79651e-07 1.15796e-06 -0.000296554 0.000279834
0.277344 3.26358e-10 -8.41131e-07 4.09659e-07 -0.000294857 0.000249753
0.27832 2.67355e-09 -1.87761e-07 1.22528e-06 -0.000222166 0.000363584
0.279297 1.43609e-09 -3.14241e-07 8.34878e-07 -0.000315279 0.000229454
0.280273 -1.56916e-10 -7.14635e-07 4.22491e-07 -0.000286519 0.000259021
0.28125 -1.12025e-11 -5.32727e-07 5.12859e-07 -0.00024118 0.000335305
0.282227 9.73974e-10 -2.92967e-07 1.00489e-06 -0.00027687 0.000256618
0.283203 -1.18803e-09 -7.97637e-07 3.36693e-07 -0.000326541 0.000251903
0.28418 -1.33541e-09 -6.5912e-07 3.69721e-07 -0.000256758 0.000282658
0.285156 1.18881e-10 -2.97809e-07 1.04264e-06 -0.00022809 0.000316887
0.286133 -1.49661e-09 -5.61795e-07 4.16972e-07 -0.000378908 0.000214127
0.287109 -2.36366e-09 -7.53395e-07 2.74276e-07 -0.000223809 0.000315585
0.288086 -1.4146e-09 -4.37283e-07 5.57183e-07 -0.000280013 0.000293807
0.289062 -1.63379e-09 -4.15597e-07 6.05812e-07 -0.000265192 0.000286199
0.290039 -5.81444e-09 -1.39533e-06 8.61881e-08 -0.000340502 0.000200786
0.291016 -3.04309e-09 -5.40608e-07 3.43182e-07 -0.0001924 0.000407134
0.291992 -3.65287e-09 -5.85631e-07 2.80546e-07 -0.000348174 0.000197738
0.292969 -5.22149e-09 -6.9661e-07 1.54148e-07 -0.000267779 0.000310313
0.293945 -8.90566e-09 -1.11877e-06 4.88714e-08 -0.00030843 0.000247874
0.294922 -2.82555e-09 -3.56337e-07 9.71462e-07 -0.000187655 0.000364421
0.295898 -8.17383e-09 -8.84723e-07 6.9777e-08 -0.000439327 0.000173183
0.296875 -6.81201e-09 -6.96014e-07 1.2987e-07 -0.000184815 0.000378303
0.297852 -8.92007e-09 -8.52079e-07 6.2982e-08 -0.000336174 0.000241232
0.298828 -4.48999e-09 -4.5909e-07 4.96254e-07 -0.000234573 0.000335077
0.299805 -1.84176e-08 -1.56431e-06 1.0352e-08 -0.000375889 0.000180174
0.300781 -6.27522e-09 -6.14393e-07 1.95489e-07 -0.00016445 0.000458619
0.301758 -1.02299e-08 -9.59608e-07 5.3763e-08 -0.00040029 0.000164638
0.302734 -5.45461e-09 -5.4927e-07 3.20358e-07 -0.000225713 0.00035885
0.303711 -1.71503e-08 -1.46861e-06 1.48725e-08 -0.000359447 0.000223741
0.304688 -4.39768e-09 -5.0239e-07 4.79653e-07 -0.000172967 0.000396111
0.305664 -9.79685e-09 -1.05126e-06 5.63792e-08 -0.000469304 0.000158202
0.306641 -4.88785e-09 -6.13163e-07 2.6667e-07 -0.000156009 0.000413805
0.307617 -1.22986e-08 -1.38866e-06 3.59323e-08 -0.000386262 0.000217324
0.308594 -2.91001e-09 -4.48304e-07 6.44731e-07 -0.000215121 0.000385224
0.30957 -7.92823e-09 -1.24196e-06 6.53161e-08 -0.000411934 0.000168514
