"GPStime","peakFreq","snr","amplitude","centralFreq","duration","bandwidth","chisq","chisqDof","confidence","id","ifo","label","imgUrl","Q-value"
1268441207.078,11.940,10.320,2.34e-20,2395.125,1.500,4770.249023,0.000,0.000,1.000,"azfGjOdgO4","L1","Low_Frequency_Burst","https://ldas-jobs.ligo-la.caltech.edu/~gravityspy/runs/O3/jtGlodaeEi/azfGjOdgO4.png",11.314
1387473709.563,12.435,10.668,1.06e-20,3980.241,3.459,7940.482910,0.000,0.000,1.000,"yW3Kllthxw","L1","Low_Frequency_Burst","https://ldas-jobs.ligo-la.caltech.edu/~gravityspy/runs/O4/2023-12-24/1387473709.5625/yW3Kllthxw.png",22.627
1265747622.969,10.609,10.476,6.20e-20,3487.812,1.500,6955.623047,0.000,0.000,1.000,"4K2yshKYpT","L1","Low_Frequency_Burst","https://ldas-jobs.ligo-la.caltech.edu/~gravityspy/runs/O3/7ISLGoztLx/4K2yshKYpT.png",5.657
1377255028.656,11.715,10.476,7.00e-21,3980.241,2.643,7940.482910,0.000,0.000,1.000,"WeiAuHmg4Q","L1","Low_Frequency_Burst","https://ldas-jobs.ligo-la.caltech.edu/~gravityspy/runs/O4/2023-08-28/1377255028.65625/WeiAuHmg4Q.png",11.314
1246830035.828,11.121,10.877,9.15e-20,3980.241,3.657,7940.482910,0.000,0.000,1.000,"s96fs3wJmD","L1","Low_Frequency_Burst","https://ldas-jobs.ligo-la.caltech.edu/~gravityspy/runs/O3/PPGMYXKhYj/s96fs3wJmD.png",5.657
1386802541.063,12.435,10.077,8.47e-21,3700.979,5.000,7381.958496,0.000,0.000,1.000,"lRQwX5L8Zl","L1","Low_Frequency_Burst","https://ldas-jobs.ligo-la.caltech.edu/~gravityspy/runs/O4/2023-12-16/1386802541.0625/lRQwX5L8Zl.png",22.627
1389121428.938,12.435,10.567,7.10e-21,3905.845,3.680,7791.690430,0.000,0.000,1.000,"SdZTtE2KI2","L1","Low_Frequency_Burst","https://ldas-jobs.ligo-la.caltech.edu/~gravityspy/runs/O4/2024-01-12/1389121428.9375/SdZTtE2KI2.png",22.627
1243588061.406,10.609,10.871,8.16e-20,3487.812,2.572,6955.623047,0.000,0.000,1.000,"x6NMhpziHi","L1","Low_Frequency_Burst","https://ldas-jobs.ligo-la.caltech.edu/~gravityspy/runs/O3/CZL5SrTcE3/x6NMhpziHi.png",11.314
1370905018.313,12.435,10.490,9.83e-21,3700.979,2.500,7381.958496,0.000,0.000,1.000,"EeSQaECpYJ","L1","Low_Frequency_Burst","https://ldas-jobs.ligo-la.caltech.edu/~gravityspy/runs/O4/2023-06-15/1370905018.3125/EeSQaECpYJ.png",22.627
1252691357.031,10.609,10.763,1.27e-19,3878.874,2.125,7737.748047,0.000,0.000,1.000,"hsoSNF2uGE","L1","Low_Frequency_Burst","https://ldas-jobs.ligo-la.caltech.edu/~gravityspy/runs/O3/1pLi3xbrn2/hsoSNF2uGE.png",5.657
1260487994.016,11.940,10.069,2.38e-20,14.458,1.000,8.915390,0.000,0.000,1.000,"E7ZtMXi4wi","L1","Low_Frequency_Burst","https://ldas-jobs.ligo-la.caltech.edu/~gravityspy/runs/O3/LnNtc2DVwX/E7ZtMXi4wi.png",11.314
1369446685.031,12.481,10.506,2.28e-20,3980.241,5.000,7940.482910,0.000,0.000,1.000,"6HhlHzihKZ","L1","Low_Frequency_Burst","https://ldas-jobs.ligo-la.caltech.edu/~gravityspy/runs/O4/2023-05-30/1369446685.03125/6HhlHzihKZ.png",22.627
1263806534.281,10.609,10.610,5.86e-20,3905.845,4.000,7791.690430,0.000,0.000,1.000,"AMNlc07YHG","L1","Low_Frequency_Burst","https://ldas-jobs.ligo-la.caltech.edu/~gravityspy/runs/O3/vn4IEOFEbM/AMNlc07YHG.png",5.657
1259583090.844,11.715,10.791,3.84e-20,3690.907,2.500,7361.813477,0.000,0.000,1.000,"UxmO6Y57r1","L1","Low_Frequency_Burst","https://ldas-jobs.ligo-la.caltech.edu/~gravityspy/runs/O3/l0tSjrDLYe/UxmO6Y57r1.png",11.314
1131150022.719,10.880,10.448,7.19e-19,2441.006,1.750,4869.726563,0.000,0.000,1.000,"9N7PZygoF4","L1","Low_Frequency_Burst","https://ldas-jobs.ligo-la.caltech.edu/~scott.coughlin/O1/GravitySpy/images/ML/Classified/9N7PZygoF4.png",0.000
1165768145.063,11.913,10.890,3.62e-20,1938.019,3.000,3860.814209,0.000,0.000,1.000,"PSYxS02AGg","L1","Low_Frequency_Burst","https://ldas-jobs.ligo-la.caltech.edu/~scott.coughlin/O2/GravitySpy/Format/Feb152017/images/ML/Classified/PSYxS02AGg.png",0.000
1386888008.750,12.137,10.047,6.05e-21,3980.241,3.000,7940.482910,0.000,0.000,1.000,"B2c8NNQWhc","L1","Low_Frequency_Burst","https://ldas-jobs.ligo-la.caltech.edu/~gravityspy/runs/O4/2023-12-17/1386888008.75/B2c8NNQWhc.png",22.627
1248016373.156,10.609,10.270,1.02e-19,3980.241,1.500,7940.482910,0.000,0.000,1.000,"IDkys8NZHm","L1","Low_Frequency_Burst","https://ldas-jobs.ligo-la.caltech.edu/~gravityspy/runs/O3/A2hFSDtF01/IDkys8NZHm.png",11.314
1386878741.094,11.715,10.299,1.19e-20,3869.171,1.551,7718.341797,0.000,0.000,1.000,"ytt6b3A0nP","L1","Low_Frequency_Burst","https://ldas-jobs.ligo-la.caltech.edu/~gravityspy/runs/O4/2023-12-17/1386878741.09375/ytt6b3A0nP.png",22.627
